Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Bình Chánh,58 m²,2 phòng,36980937,22/12/2023,22/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,Cho thuê căn hộ giá tốt nhất Mizuki Park Bình Chánh,7 triệu/tháng,1 phòng
Bình Chánh,48 m²,1 phòng,38616918,22/12/2023,22/11/2023,,Đã có sổ,"Căn hộ chung cư DT 48 m2 01 PN + khu dân cư Vĩnh Lộc B, huyện Bình Chánh","3,5 triệu/tháng",1 phòng
Bình Chánh,55 m²,2 phòng,38612546,02/12/2023,22/11/2023,,,"Cho thuê căn nhà trống 2PN - 2WC HQC Plaza, giá 3.6triệu/tháng. Liên hệ ","3,6 triệu/tháng",2 phòng
Bình Chánh,40 m²,1 phòng,38133800,19/12/2023,19/11/2023,Cơ bản,,Cho thuê căn hộ 1-2 phòng ngủ giá sinh viên,"3,5 triệu/tháng",1 phòng
Bình Chánh,127 m²,3 phòng,38371933,05/12/2023,20/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,Cho thuê gấp căn hộ Terra Rosa Khang Nam. DT 127m2 thiết kế 3 PN có NTĐĐ giá rẻ,8 triệu/tháng,2 phòng
Bình Chánh,99 m²,3 phòng,36719402,05/12/2023,20/11/2023,Cơ bản,Hợp đồng mua bán,Cho thuê căn hộ Panorama - Mizuki 3PN căn góc view kênh đào rất đẹp mới nhận nhà giá 12tr/tháng,12 triệu/tháng,3 phòng
Bình Chánh,127 m²,3 phòng,38348781,05/12/2023,20/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,Cho thuê căn hộ Khang Nam Terra Rosa 3PN có NTĐĐ giá rẻ lh: ,8 triệu/tháng,2 phòng
Bình Chánh,76 m²,2 phòng,15239619,02/12/2023,22/11/2023,"Giao nhà hoàn thiện đầy đủ thiết bị vệ sinh cao cấp, đèn chiếu sáng, tủ bếp, bồn rửa, khóa cửa...",,"Cho thuê Happy City Nguyễn Văn Linh 2PN, nội thất cơ bản giá rẻ, nhà mới 5 tr/tháng: ",5 triệu/tháng,2 phòng
Bình Chánh,66 m²,2 phòng,38157674,02/12/2023,22/11/2023,Đầy đủ,Hợp đồng mua bán,"14 tr/th full NT 2PN, 2WC giá thật k ảo, Sài Gòn Mia",14 triệu/tháng,2 phòng
Bình Chánh,99 m²,3 phòng,38616295,22/12/2023,22/11/2023,Cơ bản,,Cần cho thuê căn hộ 2PN tại Mizuki Park - CĐT Nam Long - Nhà trống,Thỏa thuận,2 phòng
Bình Chánh,72 m²,2 phòng,26802029,29/11/2023,19/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,Chính chủ cần cho thuê căn 72m2 Mizuki Park. Full nội thất. Giá 10tr/th. Liên hệ: ,10 triệu/tháng,2 phòng
Bình Chánh,55 m²,2 phòng,38371565,29/11/2023,19/11/2023,,Hợp đồng mua bán,Chung cư Saigon Intela Tháng 11/2023 - Nhận nhà ở ngay - Chủ nhà dễ mến - Quản lý thân thiện,5 triệu/tháng,2 phòng
Bình Chánh,58 m²,2 phòng,38161393,30/11/2023,15/11/2023,,,Cho thuê căn hộ Mizuki Park 2 PN + 1 WC giá từ triệu 7.5tr /1 tháng liên hệ ,"7,5 triệu/tháng",1 phòng
Bình Chánh,127 m²,3 phòng,38325309,05/12/2023,20/11/2023,Không nội thất,Sổ đỏ/ Sổ hồng,"Cho thuê căn hộ Terra Rosa Khang Nam 127m2, có 3PN nhà trống giá rẻ","6,5 triệu/tháng",2 phòng
Bình Chánh,85 m²,3 phòng,38258543,02/12/2023,22/11/2023,,,"Cho thuê căn hộ 3PN Westgate cọc 1 tháng giá 8tr/tháng có nội thất, bao phí QL!",8 triệu/tháng,2 phòng
Bình Chánh,45 m²,1 phòng,38613440,07/12/2023,22/11/2023,,,"Chung cư Saigon Mia offictel giá 10tr/th, LH: ",10 triệu/tháng,1 phòng
Bình Chánh,78 m²,2 phòng,38231714,03/12/2023,03/11/2023,Cơ bản,Hợp đồng mua bán,"Cho thuê căn hộ Mizuki 78m2 2PN view hồ bơi, kênh đào, giá chỉ 8,5tr/th","8,5 triệu/tháng",2 phòng
Bình Chánh,59 m²,2 phòng,37494748,28/11/2023,13/11/2023,Full 100%- Xách vali vào ở ,,Full 100% nội thất giá thuê 7 triệu/ tháng căn 59 m2 (2 PN + 2 WC) - chung cư West Gate - An Gia,7 triệu/tháng,2 phòng
Bình Chánh,65 m²,2 phòng,36788497,02/12/2023,22/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,"Hot! Cần cho thuê nhanh 2PN 2WC 6,2tr/tháng có rèm, tủ, giường nhà mới Lovera Vista Khang Điền","6,2 triệu/tháng",2 phòng
Bình Chánh,67 m²,2 phòng,36180417,28/11/2023,18/11/2023,Nhà trống,,"Cho thuê CH full nội thất 6.5tr, nhà trống 5triệu/tháng - CC Happy City ",5 triệu/tháng,1 phòng
Bình Chánh,"85,42 m²",3 phòng,37561010,30/11/2023,15/11/2023,,,Cho thuê 8 tr (85 m2 3 PN + 2 WC) - đã gắn 3 máy lạnh - đầy đủ nội thất gỗ - Chung cư mới bàn giao,8 triệu/tháng,2 phòng
Bình Chánh,92 m²,3 phòng,36787573,29/11/2023,14/11/2023,,,Cần cho thuê căn hộ A View 3 PN căn góc có NTDD giá 7tr/tháng,7 triệu/tháng,2 phòng
Bình Chánh,"85,42 m²",3 phòng,37252921,28/11/2023,13/11/2023,Đầy đủ nội thất cao cấp,,Cần cho thuê gấp 85.42 m2 (3 PN 2 WC) - 7.5 triệu/tháng - đầy đủ nội thất cao cấp,"7,5 triệu/tháng",2 phòng
Bình Chánh,127 m²,3 phòng,34647829,05/12/2023,20/11/2023,,Sổ đỏ/ Sổ hồng,Cho thuê căn hộ Terra Rosa Khang Nam Dt 127m2 với 3PN có NTĐĐ giá rẻ,8 triệu/tháng,2 phòng
Bình Chánh,59 m²,2 phòng,37494767,30/11/2023,15/11/2023,,,Cho thuê 4.3 triệu/tháng căn 59 m2 (2 PN + 2 WC) - chung cư mới bàn giao - West Gate An Gia,"4,3 triệu/tháng",2 phòng
Bình Chánh,42 m²,2 phòng,37368176,13/12/2023,13/11/2023,Cơ bản.,Hợp đồng mua bán.,Giỏ hàng Mizuki Panorama tháng 9/2023. Cập nhật nhanh nhất LH ,7 triệu/tháng,1 phòng
Bình Chánh,75 m²,2 phòng,37841729,14/12/2023,14/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,"Cho thuê căn hộ 75m2, 2PN Mizuki Park giá thuê 8tr - 8tr5/th có ít nội thất","8,5 triệu/tháng",2 phòng
Bình Chánh,78 m²,2 phòng,38507128,08/12/2023,08/11/2023,,,Cần cho thuê căn hộ 2 PN NT ,"10,5 triệu/tháng",2 phòng
Bình Chánh,55 m²,2 phòng,38514977,29/11/2023,19/11/2023,,,"Tôi cần cho thuê căn 2PN, 2WC dự án Sài Gòn Intela, nội thất như hình","5,5 triệu/tháng",2 phòng
Bình Chánh,59 m²,2 phòng,38072439,29/11/2023,14/11/2023,Đầy đủ.,Đang chờ sổ.,"T11. Cho thuê Westgate 1 căn duy nhất 5.5tr có máy lạnh, rèm, giàn phơi, cam kết không có căn thứ 2","5,5 triệu/tháng",2 phòng
Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Bình Tân,101 m²,3 phòng,37353168,04/12/2023,19/11/2023,,,"Hot, căn 3Pn full NT đầy đủ đến tận răng view xịn mịn Akari City giá 12triệu",12 triệu/tháng,2 phòng
Bình Tân,68 m²,2 phòng,35317219,01/12/2023,21/11/2023,Cơ bản.,,"Moonlight Boulevard 68m2 2PN, 2 nhà vệ sinh, có nội thất cơ bản cao cấp LH ",8 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,34177730,07/12/2023,22/11/2023,"Nội thất đầy đủ: Máy lạnh, tủ lạnh, rèm cửa, ghế salon, tivi, giường tủ,...",,"Chính chủ cần cho thuê căn 75m2 - full nội thất view nội khu bao đẹp, giá thuê 8tr/tháng",8 triệu/tháng,2 phòng
Bình Tân,53 m²,1 phòng,38639857,05/12/2023,25/11/2023,Full nội thất có ảnh đính kèm.,,Cho thuê căn hộ Quận Bình Tân khu Tên Lửa full nội thất giá 8 triệu vào ở được ngay nhà mới đẹp,8 triệu/tháng,1 phòng
Bình Tân,68 m²,2 phòng,37260571,04/12/2023,24/11/2023,,,Cho thuê căn hộ 2PN 2WC full nội thất giá 10. Tr/tháng nhận nhà ở liền chung cư Moonlight Boulevard,10 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,38619009,30/11/2023,23/11/2023,Đầy đủ,,Cho thuê chung cư Akari full nội thất ,9 triệu/tháng,2 phòng
Bình Tân,48 m²,1 phòng,37538619,05/12/2023,25/11/2023,Full NT,,Chính chủ! Cho thuê căn hộ 1PN 48m2 Full NT Saigonhomes - 7tr/tháng - LH: ,7 triệu/tháng,1 phòng
Bình Tân,67 m²,2 phòng,37802397,07/12/2023,27/11/2023,,,"Chủ gửi cho thuê căn hộ Tân Mai, 2PN, 67m2, nhà trống. 5tr5, liên hệ: ","5,5 triệu/tháng",1 phòng
Bình Tân,79 m²,2 phòng,38288031,04/12/2023,19/11/2023,,,Cả 1 bầu trời thương nhớ đang đợi Ngài đến ghé thăm căn 2PN Akari City căn góc Full nội thất,12 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,34184849,07/12/2023,22/11/2023,,,"Tuyển tập giỏ hàng cho thuê 2PN, 3PN - Akari City - full nội thất. Giá 6 - 12tr/tháng tùy căn",12 triệu/tháng,2 phòng
Bình Tân,77 m²,2 phòng,37352847,04/12/2023,24/11/2023,Cơ bản,,"Cho thuê căn hộ 77m2 Moonlight Boulevard 2PN - 2WC có rèm và máy lạnh giá 8,5 triệu/tháng","8,5 triệu/tháng",2 phòng
Bình Tân,53 m²,1 phòng,38494445,29/11/2023,19/11/2023,,,Cho thuê căn hộ Moonlight Boulevard 1PN full nội thất cao cấp nhận nhà ở ngay giá 9tr/tháng,9 triệu/tháng,1 phòng
Bình Tân,68 m²,2 phòng,38651053,07/12/2023,27/11/2023,,,Cho thuê căn hộ 2PN 2WC full nội thất giá 10 triệu vào ở liền - Moonlight Boulevard. LH: ,10 triệu/tháng,2 phòng
Bình Tân,53 m²,1 phòng,37142928,07/12/2023,27/11/2023,Đầy đủ,,Cho thuê căn hộ sân vườn Moonlight Boulevard Bình Tân giá 8 triệu/tháng 1PN full nội thất cao cấp,8 triệu/tháng,1 phòng
Bình Tân,79 m²,2 phòng,38325863,29/11/2023,14/11/2023,,,"Cho thuê căn góc 79m2 (2PN - 2WC) Akari City có trang bị rèm, máy lạnh, view thoáng mát, giá 9tr",9 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,30891344,07/12/2023,22/11/2023,,,"Giỏ hàng cho thuê và sang nhượng căn 2PN, 3PN, dự án Akaricity - LH ",8 triệu/tháng,
Bình Tân,68 m²,2 phòng,38639855,05/12/2023,25/11/2023,Đầy đủ nội thất cao cấp như ảnh đính kèm vào ở ngay.,,"Cho thuê căn hộ Moonlight Boulevard 2PN 2WC full nội thất giá 10 triệu/tháng, vào ở được liền",10 triệu/tháng,2 phòng
Bình Tân,75 m²,2 phòng,38603222,28/11/2023,21/11/2023,Đầy đủ,,Cho thuê 75m2 - 2PN/2WC có nội thất đẹp giá chỉ 9tr,9 triệu/tháng,2 phòng
Bình Tân,68 m²,2 phòng,36640695,05/12/2023,25/11/2023,Đầy đủ,,"Cho thuê căn hộ Moonlight Boulevard 2PN - 2WC nhà trống vào ở liền, khu Tên Lửa giá 10 triệu/tháng",10 triệu/tháng,2 phòng
Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Bình Thạnh,140 m²,3 phòng,35653419,01/12/2023,21/11/2023,,Sổ đỏ/ Sổ hồng,"Cho thuê CC Saigon Pearl giá rẻ nhà đẹp nhất thị trường 2pn chỉ 17 triệu 3pn chỉ 21tr 140m2, LH PKD",21 triệu/tháng,2 phòng
Bình Thạnh,40 m²,1 phòng,38648234,04/12/2023,27/11/2023,,,Căn Hộ cao cấp studio full nt ban công lớn thoáng máy hầm xe ngay chợ cây Quéo,"7,3 triệu/tháng",
Bình Thạnh,88 m²,2 phòng,35887934,02/12/2023,17/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,Chuyên cho thuê 1 - 2 - 3 - 4PN Vinhomes Central Park và Landmark 81 giá tốt nhất. LH: ,"18,5 triệu/tháng",2 phòng
Bình Thạnh,57 m²,1 phòng,35048592,10/12/2023,25/11/2023,Nội thất đầy đủ,Sổ đỏ/ Sổ hồng,"Chuyên cho thuê Vinhomes Central Park và Landmark81 giá tốt 1PN=15tr, 2PN=18tr, 3PN=26tr",16 triệu/tháng,1 phòng
Bình Thạnh,18 m²,1 phòng,38609111,28/11/2023,21/11/2023,Đầy đủ,,"CHDV Studio khu Vạn Kiếp - Phan Đăng Lưu - Phan Xích Long, có bảo vệ 24/24, thang máy, PCCC, hầm xe",7 triệu/tháng,1 phòng
Bình Thạnh,80 m²,2 phòng,36755813,29/11/2023,22/11/2023,Đầy đủ,,"PKD Vinhomes cho thuê giỏ căn 1PN, 2PN, 3PN, 4PN,L81 độc quyền, giá tốt nhất T11/2023 Lh ",20 triệu/tháng,2 phòng
Bình Thạnh,40 m²,1 phòng,37182831,12/12/2023,27/11/2023,,,"Cho thuê căn hộ 40-56-81-93m2, 1-2-3PN, 1-2WC, CC Mỹ Phước, Q. Bình Thạnh, giá từ 7 triệu/tháng",7 triệu/tháng,1 phòng
Bình Thạnh,120 m²,3 phòng,32320295,04/12/2023,24/11/2023,Đầy đủ nội thất hiện đại sang trọng.,Sổ đỏ/ Sổ hồng,"Cho thuê gấp căn hộ 3PN Vinhomes Central Park, full NT, view sông, 120m2. LH ",26 triệu/tháng,2 phòng
Bình Thạnh,136 m²,3 phòng,38300141,30/11/2023,23/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Cho thuê 3 phòng ngũ Saigon Pearl, 2 phòng ngủ giá 17 triệu/ tháng, 3 phòng ngủ giá 25 triệu/tháng",25 triệu/tháng,2 phòng
Bình Thạnh,100 m²,3 phòng,37993994,29/11/2023,22/11/2023,,,"PKD Vinhome giỏ căn độc quyền 3PN DT 100-120m2, đầy đủ nội thất, giá chỉ từ 27tr/th. LH ",27 triệu/tháng,2 phòng
Bình Thạnh,45 m²,1 phòng,38630207,09/12/2023,24/11/2023,Cấp Cao,,Giảm 50% 1PN full nội thất cấp cao ban công Chu Văn An - Bình Thạnh gần Coop mart,11 triệu/tháng,1 phòng
Bình Thạnh,40 m²,1 phòng,37954557,08/12/2023,23/11/2023,Cơ bản,,CH mới khai trương 40m2 sang chảnh xịn xò tại cầu Thị Nghè - Nguyễn Ngọc Phương - Đầy đủ tiện nghi,"10,5 triệu/tháng",1 phòng
Bình Thạnh,90 m²,2 phòng,36302761,10/12/2023,25/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,"Cho thuê giá tốt nhất Vinhomes Central Park 1-2-3-4PN, penthouse và toà Landmark 81. LH: ",18 triệu/tháng,2 phòng
Bình Thạnh,85 m²,2 phòng,36666752,29/11/2023,22/11/2023,Full nội thất.,,"Cho thuê gấp Saigon Pearl 2PN chỉ từ 16,5tr/tháng, 3PN giá 21tr/tháng, 4PN 33tr cam kết giá thật",17 triệu/tháng,2 phòng
Bình Thạnh,30 m²,,38526632,07/12/2023,27/11/2023,,,Phòng studio full NT thang máy hầm xe cửa sổ lớn thoáng mát,"5,9 triệu/tháng",
Bình Thạnh,45 m²,1 phòng,38622174,03/12/2023,23/11/2023,Đầy đủ,,Căn hộ mini full NT view Landmark - vị trí cạnh CC Mỹ Đức hướng và cầu Thị Nghè tiếp giáp Quận 1,"8,5 triệu/tháng",1 phòng
Bình Thạnh,90 m²,2 phòng,29240216,04/12/2023,24/11/2023,"Nội thất Châu Âu, nhà mới 99%.",Sổ đỏ/ Sổ hồng,Cho thuê căn hộ 2PN Vinhomes Central Park 90m2 phòng khách rộng view thoáng giá tốt. LH ,18 triệu/tháng,2 phòng
Bình Thạnh,50 m²,1 phòng,38649320,04/12/2023,27/11/2023,,,Cho thuê căn hộ cao cấp luxury cao cấp - Nguyễn Gia Trí - Chu Văn An - Ung Văn Khiêm,"10,5 triệu/tháng",1 phòng
Bình Thạnh,50 m²,,38524339,22/12/2023,22/11/2023,Đầy đủ,,Hệ thống Kunkin Gardan căn hộ 2 tầng ban công thoáng full NT cao cấp ngay Vinhomes Landmark 81,11 triệu/tháng,
Bình Thạnh,88 m²,2 phòng,36851073,09/12/2023,24/11/2023,"Nội thất cao cấp, mới 100%.",,Cần cho thuê căn hộ Vinhomes Central Park 2PN 88m2 nội thất sang trọng view thoáng mát giá tốt,19 triệu/tháng,2 phòng
Bình Thạnh,92 m²,2 phòng,18556238,06/12/2023,21/11/2023,Full nội thất.,,"Chuyên cho thuê CH Vinhomes Central Park, căn 1, 2, 3, 4PN giá tốt nhất. LH Thu Phương ","16,8 triệu/tháng",2 phòng
Bình Thạnh,90 m²,2 phòng,37993922,29/11/2023,22/11/2023,,,"PKD Vinhomes giỏ căn độc quyền 2PN DT 85 - 90m2, đầy đủ nội thất, giá từ 20tr/th. LH ","19,99 triệu/tháng",2 phòng
Bình Thạnh,50 m²,1 phòng,38624861,03/12/2023,23/11/2023,Đầy đủ,,Căn hộ mini 60m2 full tiện ích giá chỉ từ 9.000.000 VNĐ Gần cầu Thị Nghè hướng về quận 1,9 triệu/tháng,1 phòng
Bình Thạnh,40 m²,1 phòng,38526297,10/12/2023,10/11/2023,Đầy đủ,,Căn hộ studio 40m2 cửa sổ lớn - Đặng Thùy Trâm gần đại học vĂn Lang,6 triệu/tháng,1 phòng
Bình Thạnh,75 m²,2 phòng,38491808,10/12/2023,25/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,(Có hợp tác MG) - chuyển lại HĐ thuê căn hộ 2PN Vinhomes Central Park,19 triệu/tháng,2 phòng
Bình Thạnh,80 m²,2 phòng,38361086,30/11/2023,23/11/2023,Đầy đủ,,For Rent - Apartment (2BR-2WC) Vinhomes Central Park. Diện tích 83m2,20 triệu/tháng,2 phòng
Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Gò Vấp,"72,5 m²",2 phòng,38509010,08/12/2023,23/11/2023,Cơ bản.,Sổ đỏ/ Sổ hồng.,"Tôi có căn hộ 2 phòng ngủ cần cho thuê tại CC Cityland Park Hill, 18 Phan Văn Trị, Q. Gò Vấp",12 triệu/tháng,2 phòng
Gò Vấp,64 m²,2 phòng,32152328,15/12/2023,15/11/2023,"- Full nội thất: + Tủ bếp, bếp nấu, 01 máy lạnh, bàn ghế, rèm cửa, + kệ tivi, tủ lạnh, máy giặt, máy nước nóng (Nội thất như hình).",,"Cho thuê căn hộ có nội thất, 64 m2, 2 PN, 2WC, 1 PK & bếp CC Dream Home 7.5 triệu/th","7,5 triệu/tháng",2 phòng
Gò Vấp,25 m²,1 phòng,38648210,07/12/2023,27/11/2023,,,"Siêu phẩm trở lại căn hộ sang xịn mịn gần chợ Hạnh Thông Tây, Gò Vấp",4 triệu/tháng,1 phòng
Gò Vấp,30 m²,1 phòng,37470827,03/12/2023,23/11/2023,Đầy đủ.,,"Cho thuê chung cư mini cao cấp, máy giặt riêng gần sân golf, Gò Vấp giáp Tân Bình","5,2 triệu/tháng",1 phòng
Gò Vấp,30 m²,1 phòng,38538685,28/11/2023,13/11/2023,,,"Chung cư mini bancol mới 100% gần chung cư Khang Gia, Emart Phan Huy Ích",5 triệu/tháng,1 phòng
Gò Vấp,78 m²,2 phòng,36348356,27/12/2023,27/11/2023,,,"Cho thuê căn hộ Cityland Park Hills, 2PN, 78m2, 11tr, 3PN - 115m2 - 15tr/th. LH: ",11 triệu/tháng,2 phòng
Gò Vấp,"72,5 m²",2 phòng,31848874,13/12/2023,13/11/2023,,,Cho thuê căn hộ Cityland Park Hills 2PN - 72.5m2 - 11tr/th LH: ,11 triệu/tháng,2 phòng
Gò Vấp,40 m²,,38631802,01/12/2023,24/11/2023,Đầy đủ,,Cho thuê căn hộ cao cấp full nội thất. View sân bay triệu đô,7 triệu/tháng,
Gò Vấp,35 m²,1 phòng,38650339,07/12/2023,27/11/2023,Đầy đủ.,,Căn hộ mini balcon full tiện ích / thang máy hầm xe rộng ngay trung tâm Gò Vấp giá chỉ 5.7tr/th,"5,7 triệu/tháng",1 phòng
Gò Vấp,64 m²,2 phòng,16541339,01/12/2023,01/11/2023,- Nội thất: + Có tủ bếp dưới.,,"Cho thuê căn hộ 64m2, 2PN, 2 WC, CC Dream Home Luxury Gò Vấp, giá 7 triệu/tháng. Tel: ",7 triệu/tháng,2 phòng
Gò Vấp,30 m²,,37329223,03/12/2023,23/11/2023,Đầy đủ,Sổ đỏ/ Sổ hồng,CH có gác lửng nội thất tiện nghi gần Đại Học Văn Lang cho 2 - 4 người ở,4 triệu/tháng,
Gò Vấp,40 m²,1 phòng,38354312,28/11/2023,18/11/2023,Đầy đủ nội thất cao cấp.,Sổ đỏ/ Sổ hồng.,"Căn hộ mini 1PN, 40m2 full nội thất cao cấp có máy giặt riêng Gò Vấp","5,8 triệu/tháng",1 phòng
Gò Vấp,78 m²,2 phòng,28915188,11/12/2023,11/11/2023,,,"Cho thuê căn hộ chung cư Sunny Plaza, Phạm Văn Đồng, 2PN, 78m2, 12tr, Gò Vấp. LH: ",12 triệu/tháng,2 phòng
Gò Vấp,"72,5 m²",2 phòng,35028168,28/11/2023,29/10/2023,,Sổ đỏ/ Sổ hồng.,"Dọn qua nhà mới cho thuê căn hộ tại Cityland Park Hills, 2PN 72,5m2 = 11tr/th",11 triệu/tháng,2 phòng
Gò Vấp,45 m²,1 phòng,38562316,07/12/2023,27/11/2023,Đầy đủ,,CHDV mới hoàn thiện - đẹp có cả tivi 43 inch siêu xịn,"8,5 triệu/tháng",1 phòng
Gò Vấp,25 m²,1 phòng,37090092,03/12/2023,23/11/2023,"Nội thất: Máy lạnh, máy giặt, tủ quần áo, giường, nệm, kệ bếp,...",Sổ đỏ/ Sổ hồng,"CH mới tinh nội thất tiện nghi ngay Quang Trung, Phan Huy Ích","3,8 triệu/tháng",1 phòng
Gò Vấp,40 m²,,38631190,01/12/2023,24/11/2023,Đầy đủ,,"Căn hộ ban công full nội thất view sân bay Tân Sơn Nhất, mới xây, có thang máy, máy giặt riêng","6,5 triệu/tháng",
Gò Vấp,78 m²,2 phòng,37289424,28/11/2023,18/11/2023,,,"Cho thuê CH Sunny, Phạm Văn Đồng, Gò Vấp 2PN: 12tr, 3PN: 15tr. LH ",12 triệu/tháng,2 phòng
Gò Vấp,35 m²,1 phòng,38050420,05/12/2023,25/11/2023,Đầy đủ,Khác,"Thuê căn hộ mới 35m2, 1 phòng ngủ full nội thất Phan Văn Trị",5 triệu/tháng,1 phòng
Gò Vấp,30 m²,1 phòng,38564741,06/12/2023,26/11/2023,,,"Chung cư đầy đủ nội thất, bancol, PCCC gần chợ Cầu",5 triệu/tháng,1 phòng
Gò Vấp,78 m²,2 phòng,37079757,07/12/2023,27/11/2023,Cơ bản,Sổ đỏ/ Sổ hồng,"Cho thuê căn hộ Cityland Park Hill, 18 Phan Văn Trị, P. 10, Q. Gò Vấp",12 triệu/tháng,2 phòng
Address,Area,Bedroom,Code,DateExpiration,DateUpLoad,Furniture,Legal,Name,Price,Toilet
Gò Vấp,95 m²,3 phòng,37924541,28/11/2023,18/11/2023,,,"Cho thuê CHCC Hà Đô Nguyễn Văn Công 3pn, giá 13tr/tháng. LH ",13 triệu/tháng,2 phòng
Gò Vấp,45 m²,1 phòng,38573414,01/12/2023,16/11/2023,Đầy đủ.,,Cho thuê căn hộ Cityland Park Hills. Full nội thất cao cấp máy giặt riêng,6 triệu/tháng,1 phòng
Gò Vấp,75 m²,2 phòng,31501396,02/12/2023,17/11/2023,,,"Cho thuê căn hộ CC M-One, Q. Gò Vấp, 2PN, 75m2, 11tr/th, LH: ",11 triệu/tháng,2 phòng
Gò Vấp,35 m²,1 phòng,36195519,06/12/2023,26/11/2023,Đầy đủ,,"Căn hộ Studio cao cấp cửa sổ ban công, máy giặt riêng Phạm Văn Bạch, Gò Vấp gần KCN Tân Bình","5,5 triệu/tháng",1 phòng
Gò Vấp,80 m²,2 phòng,38553398,29/11/2023,14/11/2023,,,"Tôi chủ nhà cho thuê nhanh căn hộ cao cấp Hà Đô, 80m2, 2PN, 2WC, tầng cao nhà mới đẹp, 12tr/th",12 triệu/tháng,2 phòng
Gò Vấp,80 m²,2 phòng,38575866,02/12/2023,17/11/2023,,,"Cho thuê Cityland, Gò vấp, 2PN, 2WC, DT: 80m2, giá : 13 triệu, nhà đẹp, giá rẻ LH: Hà An ",13 triệu/tháng,2 phòng
Gò Vấp,75 m²,2 phòng,36145328,27/12/2023,27/11/2023,,,"Cho thuê căn hộ Sunny Plaza, 2PN - 75m2 - 12tr/th. 3PN, 100m2, 13tr, LH: ",12 triệu/tháng,2 phòng
Gò Vấp,30 m²,1 phòng,38541601,05/12/2023,25/11/2023,Đầy đủ.,Khác,Căn hộ mới 30m2 full nội thất ngay Quang Trung,"4,6 triệu/tháng",1 phòng
Gò Vấp,32 m²,1 phòng,38591426,29/11/2023,19/11/2023,,,"Căn hộ duplex ban công Nguyễn Kiệm, Gò Vấp ở được 3 4 người chỉ từ 4xxx","4,2 triệu/tháng",1 phòng
Gò Vấp,76 m²,2 phòng,34619666,01/12/2023,21/11/2023,,,"Cho thuê căn hộ Cityland Park Hills 2PN - 76m2 - 10tr, 3PN - 100m2 - 15tr/th. LH: ",10 triệu/tháng,
Gò Vấp,18 m²,1 phòng,37665530,29/11/2023,19/11/2023,,,"Cho thuê phòng cao cấp đầy đủ tiện nghi, thông đường Phan Huy Ích, Gò Vấp","3,5 triệu/tháng",1 phòng
Gò Vấp,25 m²,1 phòng,37394629,02/12/2023,22/11/2023,Đầy đủ.,Hợp đồng cho thuê.,Căn hộ duplex full NT có bancol ngay Cityland,"4,7 triệu/tháng",1 phòng
Gò Vấp,35 m²,,38122808,04/12/2023,24/11/2023,,,Khai trương căn hộ full nội thất giá 6 triệu/th gần Cityland - Lottemart Gò Vấp,6 triệu/tháng,
Gò Vấp,50 m²,1 phòng,38626758,04/12/2023,24/11/2023,Đầy đủ,,Khai trương duplex cao cấp - Mới 100% - Giá rẻ - Ban công thoáng mát - ngay Phạm Văn Đồng,"7,2 triệu/tháng",1 phòng
Gò Vấp,28 m²,1 phòng,38128403,29/11/2023,19/11/2023,Đầy đủ,,"Cho thuê căn hộ mini - máy giặt riêng new 100%, bancol thoáng đường Lê Văn Thọ, Gò Vấp","5,3 triệu/tháng",1 phòng
Gò Vấp,70 m²,2 phòng,38511474,30/11/2023,20/11/2023,,,"Cho thuê chung cư K26, đường Dương Quảng Hàm, P7, Gò Vấp. CH lầu 1 70m2 2pn 1wc, giá 8 triệu/tháng",8 triệu/tháng,1 phòng
Gò Vấp,87 m²,2 phòng,24759953,18/12/2023,18/11/2023,,,"Chính chủ cho thuê căn hộ Hà Đô (Nguyễn Văn Công), 2PN 11-13tr. 3PN 14-17tr. LH: ",11 triệu/tháng,2 phòng
Gò Vấp,68 m²,2 phòng,23034273,30/11/2023,20/11/2023,Không nội thất,,"Cho thuê căn hộ I-Home 68m2 2 phòng ngủ, 2WC, giá 6 tr/tháng",6 triệu/tháng,2 phòng
